iter,array_size,time
0;2500;0.231978
0;5000;0.490822
0;7500;1.065950
0;10000;2.015278
0;12500;2.974141
0;15000;4.262504
0;17500;5.846748
0;20000;7.580134
0;22500;9.605757
0;25000;11.901346
1;2500;0.119234
1;5000;0.490549
1;7500;1.074010
1;10000;1.939228
1;12500;2.977841
1;15000;4.285387
1;17500;5.838641
1;20000;7.626808
1;22500;9.591640
1;25000;11.841230
2;2500;0.119299
2;5000;0.474592
2;7500;1.185262
2;10000;1.899845
2;12500;3.021446
2;15000;4.262211
2;17500;5.841788
2;20000;7.580182
2;22500;9.686132
2;25000;11.842937
3;2500;0.164441
3;5000;0.487422
3;7500;1.077251
3;10000;1.972038
3;12500;2.988091
3;15000;4.302260
3;17500;5.828773
3;20000;7.622117
3;22500;9.593224
3;25000;11.840421
4;2500;0.138259
4;5000;0.525465
4;7500;1.079979
4;10000;1.907815
4;12500;2.970472
4;15000;4.346653
4;17500;5.814118
4;20000;7.578643
4;22500;9.624323
4;25000;11.962746
