iter,array_size,time
0,2500,1.212361
0,5000,3.357235
0,7500,7.553208
0,10000,14.460694
0,12500,21.095078
0,15000,30.283492
0,17500,41.229225
0,20000,53.861265
0,22500,68.183268
0,25000,84.181815
1,2500,0.840806
1,5000,3.357594
1,7500,7.550879
1,10000,13.434270
1,12500,21.013565
1,15000,30.279718
1,17500,41.229288
1,20000,53.861868
1,22500,68.184985
1,25000,84.181992
2,2500,0.840708
2,5000,3.515031
2,7500,7.552192
2,10000,13.619746
2,12500,21.200032
2,15000,30.465897
2,17500,41.410865
2,20000,53.861781
2,22500,68.363856
2,25000,84.228971
3,2500,1.025077
3,5000,3.357504
3,7500,7.551167
3,10000,13.435796
3,12500,21.015789
3,15000,30.280220
3,17500,41.232391
3,20000,53.865934
3,22500,68.942861
3,25000,84.901782
4,2500,0.841925
4,5000,3.357569
4,7500,7.551855
4,10000,13.439083
4,12500,21.204447
4,15000,30.281613
4,17500,41.415157
4,20000,54.047140
4,22500,68.177070
4,25000,84.183114
