iter,array_size,time
0,2500,0.223808
0,5000,0.889518
0,7500,1.335314
0,10000,2.242969
0,12500,3.508486
0,15000,5.053114
0,17500,6.878422
0,20000,8.985565
0,22500,11.372940
0,25000,14.032349
1,2500,0.141361
1,5000,0.561516
1,7500,1.261083
1,10000,2.242566
1,12500,3.505905
1,15000,5.050220
1,17500,6.875094
1,20000,8.980592
1,22500,11.366889
1,25000,14.033784
2,2500,0.141339
2,5000,0.561398
2,7500,1.261061
2,10000,2.241944
2,12500,3.505644
2,15000,5.051081
2,17500,6.874655
2,20000,8.980605
2,22500,11.366903
2,25000,14.033066
3,2500,0.141317
3,5000,0.561454
3,7500,1.260973
3,10000,2.242119
3,12500,3.506465
3,15000,5.049764
3,17500,6.874772
3,20000,8.980772
3,22500,11.367004
3,25000,14.030549
4,2500,0.141285
4,5000,0.562067
4,7500,1.260752
4,10000,2.242249
4,12500,3.506356
4,15000,5.050670
4,17500,6.874841
4,20000,8.980869
4,22500,11.366800
4,25000,14.032432
