iter,array_size,time
0;2500;0.121412
0;5000;0.481190
0;7500;1.082200
0;10000;1.890185
0;12500;2.852856
0;15000;4.110861
0;17500;5.592840
0;20000;7.518469
0;22500;9.454682
0;25000;11.538323
1;2500;0.122021
1;5000;0.481806
1;7500;1.081785
1;10000;1.895098
1;12500;2.928852
1;15000;4.201094
1;17500;5.763716
1;20000;7.706337
1;22500;9.278952
1;25000;11.727362
2;2500;0.132305
2;5000;0.482346
2;7500;1.083364
2;10000;1.912040
2;12500;2.948813
2;15000;4.217823
2;17500;5.705760
2;20000;7.441092
2;22500;9.396165
2;25000;11.688173
3;2500;0.127287
3;5000;0.481751
3;7500;1.083275
3;10000;1.925399
3;12500;2.955478
3;15000;4.247676
3;17500;5.808710
3;20000;7.499627
3;22500;9.437786
3;25000;11.784672
4;2500;0.120623
4;5000;0.480845
4;7500;1.082713
4;10000;1.893572
4;12500;2.969656
4;15000;4.268529
4;17500;5.772273
4;20000;7.472302
4;22500;9.399464
4;25000;11.695721
