iter,array_size,time
0;2500;0.042400
0;5000;0.119483
0;7500;0.267111
0;10000;0.474231
0;12500;0.741251
0;15000;1.067055
0;17500;1.452289
0;20000;1.896894
0;22500;2.399090
0;25000;2.961416
1;2500;0.044723
1;5000;0.119487
1;7500;0.267116
1;10000;0.474221
1;12500;0.741023
1;15000;1.067246
1;17500;1.452103
1;20000;1.895782
1;22500;2.407231
1;25000;2.965868
2;2500;0.039792
2;5000;0.131791
2;7500;0.268628
2;10000;0.475461
2;12500;0.742691
2;15000;1.068197
2;17500;1.467028
2;20000;1.906254
2;22500;2.421745
2;25000;2.952029
3;2500;0.030847
3;5000;0.119828
3;7500;0.269205
3;10000;0.491227
3;12500;0.747230
3;15000;1.086601
3;17500;1.464402
3;20000;1.914876
3;22500;2.416477
3;25000;2.969282
4;2500;0.045683
4;5000;0.132594
4;7500;0.280473
4;10000;0.487708
4;12500;0.752819
4;15000;1.082917
4;17500;1.460836
4;20000;1.894111
4;22500;2.418065
4;25000;2.960356
