iter,size,time
0,1000000,0.437144
0,2000000,0.869331
0,3000000,1.333456
0,4000000,1.811864
0,5000000,2.315301
0,6000000,2.815903
0,7000000,3.290704
0,8000000,3.747379
0,9000000,4.217327
0,10000000,4.670537
1,1000000,0.436040
1,2000000,0.868753
1,3000000,1.334240
1,4000000,1.812993
1,5000000,2.313686
1,6000000,2.814638
1,7000000,3.293481
1,8000000,3.748350
1,9000000,4.205282
1,10000000,4.679539
2,1000000,0.437524
2,2000000,0.869224
2,3000000,1.335285
2,4000000,1.813612
2,5000000,2.317200
2,6000000,2.815653
2,7000000,3.291305
2,8000000,3.742740
2,9000000,4.213062
2,10000000,4.687907
3,1000000,0.435915
3,2000000,0.869235
3,3000000,1.333962
3,4000000,1.815413
3,5000000,2.311289
3,6000000,2.818405
3,7000000,3.288451
3,8000000,3.745977
3,9000000,4.205119
3,10000000,4.675688
4,1000000,0.437914
4,2000000,0.869311
4,3000000,1.335055
4,4000000,1.812633
4,5000000,2.313307
4,6000000,2.816657
4,7000000,3.294405
4,8000000,3.745283
4,9000000,4.212138
4,10000000,4.676073
