iter,array_size,time
0;2500;0.728324
0;5000;2.888027
0;7500;6.322039
0;10000;11.245134
0;12500;17.593078
0;15000;25.916977
0;17500;34.475510
0;20000;45.004009
0;22500;56.940213
0;25000;70.650799
1;2500;0.710850
1;5000;2.880165
1;7500;6.361994
1;10000;11.516939
1;12500;18.062176
1;15000;26.186617
1;17500;35.313177
1;20000;46.022231
1;22500;56.821177
1;25000;70.272045
2;2500;0.722023
2;5000;2.851704
2;7500;6.387856
2;10000;11.507280
2;12500;18.015615
2;15000;25.954455
2;17500;34.804226
2;20000;45.452555
2;22500;57.499657
2;25000;72.068611
3;2500;0.721788
3;5000;2.881403
3;7500;6.312996
3;10000;11.517062
3;12500;18.002049
3;15000;25.546946
3;17500;34.354815
3;20000;45.970653
3;22500;57.493848
3;25000;70.184065
4;2500;0.711836
4;5000;2.850190
4;7500;6.372956
4;10000;11.532400
4;12500;17.735807
4;15000;25.897517
4;17500;34.534329
4;20000;45.539773
4;22500;58.261977
4;25000;74.215995
