iter,size,time
0,1000000,0.550305
0,2000000,1.103827
0,3000000,1.675884
0,4000000,2.267784
0,5000000,2.882977
0,6000000,3.481600
0,7000000,4.115559
0,8000000,4.548565
0,9000000,5.147572
0,10000000,5.829389
1,1000000,0.542288
1,2000000,1.090194
1,3000000,1.640415
1,4000000,2.197584
1,5000000,2.749068
1,6000000,3.310742
1,7000000,3.918466
1,8000000,4.631843
1,9000000,5.103735
1,10000000,5.715336
2,1000000,0.542107
2,2000000,1.077057
2,3000000,1.629056
2,4000000,2.175565
2,5000000,2.737860
2,6000000,3.273872
2,7000000,3.885911
2,8000000,4.692062
2,9000000,5.337552
2,10000000,5.848184
3,1000000,0.546159
3,2000000,1.068577
3,3000000,1.691103
3,4000000,2.285883
3,5000000,2.879761
3,6000000,3.517384
3,7000000,4.158400
3,8000000,4.371224
3,9000000,5.088222
3,10000000,5.872467
4,1000000,0.548838
4,2000000,1.099223
4,3000000,1.654993
4,4000000,2.217717
4,5000000,2.754540
4,6000000,3.315436
4,7000000,3.928949
4,8000000,4.514681
4,9000000,5.125207
4,10000000,5.731932
